凭证号,主体代码,会计主体,记账日期,摘要,科目编码,科目名称,借方金额,贷方金额,客户,供应商,关联方,产品,渠道,地区,税种,资产类别,账龄,使用部门,单据日期,补助类型,现金流项目,内部往来标记
PZ00008,P,黔岭酒业股份有限公司,2025-12-31,预收经销商货款,1002,银行存款,520000000,,,,,,批发代理,,,,,,,,销售商品、提供劳务收到的现金,
PZ00008,P,黔岭酒业股份有限公司,2025-12-31,预收经销商货款,2204,合同负债,,520000000,,,,,批发代理,,,,,,,,销售商品、提供劳务收到的现金,
PZ00009,P,黔岭酒业股份有限公司,2025-12-31,采购原辅料,1401,原材料,402000000,,,红缨子高粱种植合作社,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00009,P,黔岭酒业股份有限公司,2025-12-31,采购原辅料,1002,银行存款,,402000000,,红缨子高粱种植合作社,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00010,P,黔岭酒业股份有限公司,2025-12-31,领用原辅料投入生产,1402,生产成本,402000000,,,,,,,,,,,,,,,
PZ00010,P,黔岭酒业股份有限公司,2025-12-31,领用原辅料投入生产,1401,原材料,,402000000,,,,,,,,,,,,,,
PZ00011,P,黔岭酒业股份有限公司,2025-12-31,生产制造费用（水电燃气）,1402,生产成本,112000000,,,能源供应商,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00011,P,黔岭酒业股份有限公司,2025-12-31,生产制造费用（水电燃气）,1002,银行存款,,112000000,,能源供应商,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00012,P,黔岭酒业股份有限公司,2025-12-31,计提生产用固定资产折旧,1402,生产成本,97580833.33,,,,,,,,,机器设备,,生产,,,,
PZ00012,P,黔岭酒业股份有限公司,2025-12-31,计提生产用固定资产折旧,1602,累计折旧,,97580833.33,,,,,,,,机器设备,,生产,,,,
PZ00013,P,黔岭酒业股份有限公司,2025-12-31,采购包装材料（关联方）,1401,原材料,260000000,,,黔岭酒类包装有限公司,黔岭酒类包装有限公司,,,,,,,,,,,黔岭包装对母公司应收账款
PZ00013,P,黔岭酒业股份有限公司,2025-12-31,采购包装材料（关联方）,2202,应付账款,,260000000,,黔岭酒类包装有限公司,黔岭酒类包装有限公司,,,,,,,,,,,黔岭包装对母公司应收账款
PZ00014,P,黔岭酒业股份有限公司,2025-11-30,支付黔岭包装货款,2202,应付账款,190000000,,,,黔岭酒类包装有限公司,,,,,,,,,,购买商品、接受劳务支付的现金,黔岭包装对母公司应收账款
PZ00014,P,黔岭酒业股份有限公司,2025-11-30,支付黔岭包装货款,1002,银行存款,,190000000,,,黔岭酒类包装有限公司,,,,,,,,,,购买商品、接受劳务支付的现金,黔岭包装对母公司应收账款
PZ00015,P,黔岭酒业股份有限公司,2025-12-31,完工产成品入库,1405,库存商品,978000000,,,,,,,,,,,,,,,
PZ00015,P,黔岭酒业股份有限公司,2025-12-31,完工产成品入库,1402,生产成本,,978000000,,,,,,,,,,,,,,
PZ00016,P,黔岭酒业股份有限公司,2025-12-31,结转主营业务成本,6401,主营业务成本,1142000000,,,,,,,,,,,,,,,
PZ00016,P,黔岭酒业股份有限公司,2025-12-31,结转主营业务成本,1405,库存商品,,1142000000,,,,,,,,,,,,,,
PZ00017,P,黔岭酒业股份有限公司,2025-12-31,其他业务成本,6402,其他业务成本,8000000,,,,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00017,P,黔岭酒业股份有限公司,2025-12-31,其他业务成本,1002,银行存款,,8000000,,,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00018,P,黔岭酒业股份有限公司,2025-12-31,计提生产人员薪酬,1402,生产成本,108000000,,,,,,,,,,,,,,,
PZ00018,P,黔岭酒业股份有限公司,2025-12-31,计提生产人员薪酬,2211,应付职工薪酬,,108000000,,,,,,,,,,,,,,
PZ00019,P,黔岭酒业股份有限公司,2025-12-31,计提销售人员薪酬,6601,销售费用,96000000,,,,,,,,,,,,,,,
PZ00019,P,黔岭酒业股份有限公司,2025-12-31,计提销售人员薪酬,2211,应付职工薪酬,,96000000,,,,,,,,,,,,,,
PZ00020,P,黔岭酒业股份有限公司,2025-12-31,计提管理人员薪酬,6602,管理费用,62000000,,,,,,,,,,,,,,,
PZ00020,P,黔岭酒业股份有限公司,2025-12-31,计提管理人员薪酬,2211,应付职工薪酬,,62000000,,,,,,,,,,,,,,
PZ00021,P,黔岭酒业股份有限公司,2025-12-31,计提研发人员薪酬,6603,研发费用,12000000,,,,,,,,,,,,,,,
PZ00021,P,黔岭酒业股份有限公司,2025-12-31,计提研发人员薪酬,2211,应付职工薪酬,,12000000,,,,,,,,,,,,,,
PZ00022,P,黔岭酒业股份有限公司,2025-12-31,实际支付职工薪酬,2211,应付职工薪酬,250000000,,,,,,,,,,,,,,支付给职工以及为职工支付的现金,
PZ00022,P,黔岭酒业股份有限公司,2025-12-31,实际支付职工薪酬,1002,银行存款,,250000000,,,,,,,,,,,,,支付给职工以及为职工支付的现金,
PZ00023,P,黔岭酒业股份有限公司,2025-12-31,税金及附加计提,6403,税金及附加,520000000,,,,,,,,消费税及附加,,,,,,,
PZ00023,P,黔岭酒业股份有限公司,2025-12-31,税金及附加计提,2221,应交税费,,520000000,,,,,,,消费税及附加,,,,,,,
PZ00024,P,黔岭酒业股份有限公司,2025-12-31,销售费用（除薪酬外）,6601,销售费用,69000000,,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00024,P,黔岭酒业股份有限公司,2025-12-31,销售费用（除薪酬外）,1002,银行存款,,69000000,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00025,P,黔岭酒业股份有限公司,2025-12-31,管理费用（除薪酬外）,6602,管理费用,67000000,,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00025,P,黔岭酒业股份有限公司,2025-12-31,管理费用（除薪酬外）,1002,银行存款,,67000000,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00026,P,黔岭酒业股份有限公司,2025-12-31,研发费用（除薪酬外）,6603,研发费用,34000000,,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00026,P,黔岭酒业股份有限公司,2025-12-31,研发费用（除薪酬外）,1002,银行存款,,34000000,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00027,P,黔岭酒业股份有限公司,2025-12-31,利息收入,1002,银行存款,58000000,,,,,,,,,,,,,,收到其他与经营活动有关的现金,
PZ00027,P,黔岭酒业股份有限公司,2025-12-31,利息收入,6604,财务费用,,58000000,,,,,,,,,,,,,收到其他与经营活动有关的现金,
PZ00028,P,黔岭酒业股份有限公司,2025-12-31,政府补助（与收益相关：稳岗补贴）,1002,银行存款,21000000,,,,,,,,,,,,,稳岗补贴（与收益相关）,收到其他与经营活动有关的现金,
PZ00028,P,黔岭酒业股份有限公司,2025-12-31,政府补助（与收益相关：稳岗补贴）,6117,其他收益,,21000000,,,,,,,,,,,,稳岗补贴（与收益相关）,收到其他与经营活动有关的现金,
PZ00029,P,黔岭酒业股份有限公司,2025-12-31,收到技改专项补助,1002,银行存款,30000000,,,,,,,,,,,,,技改专项（与资产相关）,收到其他与投资活动有关的现金,
PZ00029,P,黔岭酒业股份有限公司,2025-12-31,收到技改专项补助,6117,其他收益,,30000000,,,,,,,,,,,,技改专项（与资产相关）,收到其他与投资活动有关的现金,
PZ00030,P,黔岭酒业股份有限公司,2025-12-31,理财产品投资收益,1002,银行存款,18000000,,,,,,,,,,,,,,取得投资收益收到的现金,
PZ00030,P,黔岭酒业股份有限公司,2025-12-31,理财产品投资收益,6111,投资收益,,18000000,,,,,,,,,,,,,取得投资收益收到的现金,
PZ00031,P,黔岭酒业股份有限公司,2025-12-31,收到黔岭销售分红,1002,银行存款,80000000,,,,黔岭销售有限公司,,,,,,,,,,取得投资收益收到的现金,内部股利
PZ00031,P,黔岭酒业股份有限公司,2025-12-31,收到黔岭销售分红,6111,投资收益,,80000000,,,黔岭销售有限公司,,,,,,,,,,取得投资收益收到的现金,内部股利
PZ00032,P,黔岭酒业股份有限公司,2025-12-31,计提应收款项坏账准备,6701,信用减值损失,3000000,,,,,,,,,,,,,,,
PZ00032,P,黔岭酒业股份有限公司,2025-12-31,计提应收款项坏账准备,1231,坏账准备,,3000000,,,,,,,,,,,,,,
PZ00033,P,黔岭酒业股份有限公司,2025-12-31,计提存货跌价准备,6702,资产减值损失,4000000,,,,,,,,,,,,,,,
PZ00033,P,黔岭酒业股份有限公司,2025-12-31,计提存货跌价准备,1471,存货跌价准备,,4000000,,,,,,,,,,,,,,
PZ00034,P,黔岭酒业股份有限公司,2025-12-31,营业外收入-罚款及违约金,1002,银行存款,3200000,,,,,,,,,,,,,,收到其他与经营活动有关的现金,
PZ00034,P,黔岭酒业股份有限公司,2025-12-31,营业外收入-罚款及违约金,6301,营业外收入,,3200000,,,,,,,,,,,,,收到其他与经营活动有关的现金,
PZ00035,P,黔岭酒业股份有限公司,2025-12-31,营业外支出-对外捐赠,6711,营业外支出,8600000,,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00035,P,黔岭酒业股份有限公司,2025-12-31,营业外支出-对外捐赠,1002,银行存款,,8600000,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00036,P,黔岭酒业股份有限公司,2025-04-30,购建固定资产支付现金,1604,在建工程,1196000000,,,,,,,,,在建工程,,,,,购建固定资产、无形资产和其他长期资产支付的现金,
PZ00036,P,黔岭酒业股份有限公司,2025-04-30,购建固定资产支付现金,1002,银行存款,,1196000000,,,,,,,,在建工程,,,,,购建固定资产、无形资产和其他长期资产支付的现金,
PZ00037,P,黔岭酒业股份有限公司,2025-06-30,在建工程转固（高精度检测设备）,1601,固定资产,70000000,,,,,,,,,机器设备,,管理,,,,
PZ00037,P,黔岭酒业股份有限公司,2025-06-30,在建工程转固（高精度检测设备）,1604,在建工程,,70000000,,,,,,,,机器设备,,管理,,,,
PZ00038,P,黔岭酒业股份有限公司,2025-12-31,计提管理用固定资产折旧,6602,管理费用,50603333.33,,,,,,,,,房屋及建筑物,,管理,,,,
PZ00038,P,黔岭酒业股份有限公司,2025-12-31,计提管理用固定资产折旧,1602,累计折旧,,50603333.33,,,,,,,,房屋及建筑物,,管理,,,,
PZ00039,P,黔岭酒业股份有限公司,2025-12-31,无形资产摊销,6602,管理费用,16000000,,,,,,,,,,,,,,,
PZ00039,P,黔岭酒业股份有限公司,2025-12-31,无形资产摊销,1702,累计摊销,,16000000,,,,,,,,,,,,,,
PZ00040,P,黔岭酒业股份有限公司,2025-12-31,长期待摊费用摊销,6602,管理费用,7000000,,,,,,,,,,,,,,,
PZ00040,P,黔岭酒业股份有限公司,2025-12-31,长期待摊费用摊销,1801,长期待摊费用,,7000000,,,,,,,,,,,,,,
PZ00041,P,黔岭酒业股份有限公司,2025-10-31,支付品牌广告制作费,1801,长期待摊费用,15000000,,,品牌广告服务商,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00041,P,黔岭酒业股份有限公司,2025-10-31,支付品牌广告制作费,1002,银行存款,,15000000,,品牌广告服务商,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00042,P,黔岭酒业股份有限公司,2025-07-31,其他应收款-往来款,1221,其他应收款,25000000,,黔岭物流有限公司,,黔岭物流有限公司（管理层未申报）,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00042,P,黔岭酒业股份有限公司,2025-07-31,其他应收款-往来款,1002,银行存款,,25000000,黔岭物流有限公司,,黔岭物流有限公司（管理层未申报）,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00043,P,黔岭酒业股份有限公司,2025-12-28,开出转账支票 2206,2202,应付账款,42000000,,,其他供应商（汇总）,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00043,P,黔岭酒业股份有限公司,2025-12-28,开出转账支票 2206,1002,银行存款,,42000000,,其他供应商（汇总）,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00044,P,黔岭酒业股份有限公司,2025-12-29,开出转账支票 2209,2241,其他应付款,30000000,,,其他应付单位,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00044,P,黔岭酒业股份有限公司,2025-12-29,开出转账支票 2209,1002,银行存款,,30000000,,其他应付单位,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00045,P,黔岭酒业股份有限公司,2025-12-31,电汇 2210（已汇出，银行未扣款）,2202,应付账款,14000000,,,其他供应商（汇总）,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00045,P,黔岭酒业股份有限公司,2025-12-31,电汇 2210（已汇出，银行未扣款）,1002,银行存款,,14000000,,其他供应商（汇总）,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00046,P,黔岭酒业股份有限公司,2025-07-31,购买理财产品,1101,交易性金融资产,300000000,,,,,,,,,,,,,,投资支付的现金,
PZ00046,P,黔岭酒业股份有限公司,2025-07-31,购买理财产品,1002,银行存款,,300000000,,,,,,,,,,,,,投资支付的现金,
PZ00047,P,黔岭酒业股份有限公司,2025-12-31,缴纳消费税及附加,2221,应交税费,460000000,,,,,,,,消费税及附加,,,,,,支付的各项税费,
PZ00047,P,黔岭酒业股份有限公司,2025-12-31,缴纳消费税及附加,1002,银行存款,,460000000,,,,,,,消费税及附加,,,,,,支付的各项税费,
PZ00048,P,黔岭酒业股份有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,34000000,,,,,,,,企业所得税,,,,,,支付的各项税费,
PZ00048,P,黔岭酒业股份有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,34000000,,,,,,,企业所得税,,,,,,支付的各项税费,
PZ00049,P,黔岭酒业股份有限公司,2025-12-31,支付其他应付款项,2241,其他应付款,240000000,,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00049,P,黔岭酒业股份有限公司,2025-12-31,支付其他应付款项,1002,银行存款,,240000000,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00050,P,黔岭酒业股份有限公司,2025-12-31,确认所得税费用,6801,所得税费用,32000000,,,,,,,,企业所得税,,,,,,,
PZ00050,P,黔岭酒业股份有限公司,2025-12-31,确认所得税费用,2221,应交税费,,32000000,,,,,,,企业所得税,,,,,,,
PZ00051,P,黔岭酒业股份有限公司,2025-12-31,计提法定盈余公积,4104,未分配利润,145000000,,,,,,,,,,,,,,,
PZ00051,P,黔岭酒业股份有限公司,2025-12-31,计提法定盈余公积,4101,盈余公积,,145000000,,,,,,,,,,,,,,
PZ00052,P,黔岭酒业股份有限公司,2025-12-31,宣告分配现金股利,4104,未分配利润,395800000,,,,,,,,,,,,,,,
PZ00052,P,黔岭酒业股份有限公司,2025-12-31,宣告分配现金股利,2241,其他应付款,,395800000,,,,,,,,,,,,,,
PZ00053,S1,黔岭销售有限公司,2025-12-31,批发代理收入-天酿-国内,1002,银行存款,2355800000,,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,1年以内（含1年）,,,,销售商品、提供劳务收到的现金,
PZ00053,S1,黔岭销售有限公司,2025-12-31,批发代理收入-天酿-国内,6001,主营业务收入,,2355800000,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,1年以内（含1年）,,,,销售商品、提供劳务收到的现金,
PZ00054,S1,黔岭销售有限公司,2025-12-31,批发代理收入-春酿-国内,1002,银行存款,584200000,,华南区经销商（汇总）,,,黔岭·春酿,批发代理,国内,,,1年以内（含1年）,,,,销售商品、提供劳务收到的现金,
PZ00054,S1,黔岭销售有限公司,2025-12-31,批发代理收入-春酿-国内,6001,主营业务收入,,584200000,华南区经销商（汇总）,,,黔岭·春酿,批发代理,国内,,,1年以内（含1年）,,,,销售商品、提供劳务收到的现金,
PZ00055,S1,黔岭销售有限公司,2025-12-31,出口收入-春酿,1002,银行存款,180000000,,出口经销商（汇总）,,,黔岭·春酿,批发代理,国外,,,1年以内（含1年）,,,,销售商品、提供劳务收到的现金,
PZ00055,S1,黔岭销售有限公司,2025-12-31,出口收入-春酿,6001,主营业务收入,,180000000,出口经销商（汇总）,,,黔岭·春酿,批发代理,国外,,,1年以内（含1年）,,,,销售商品、提供劳务收到的现金,
PZ00056,S1,黔岭销售有限公司,2025-12-30,确认经销收入（华东区）,1122,应收账款,66000000,,华东区经销商（含某商贸）,,,黔岭·天酿,批发代理,国内,,,1年以内（含1年）,,2026-01-05,,,
PZ00056,S1,黔岭销售有限公司,2025-12-30,确认经销收入（华东区）,6001,主营业务收入,,66000000,华东区经销商（含某商贸）,,,黔岭·天酿,批发代理,国内,,,1年以内（含1年）,,2026-01-05,,,
PZ00057,S1,黔岭销售有限公司,2025-09-30,向母公司采购基酒,1405,库存商品,1000000000,,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,,,,,母公司对黔岭销售应收账款
PZ00057,S1,黔岭销售有限公司,2025-09-30,向母公司采购基酒,2202,应付账款,,1000000000,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,,,,,母公司对黔岭销售应收账款
PZ00058,S1,黔岭销售有限公司,2025-10-31,支付母公司货款,2202,应付账款,700000000,,,,黔岭酒业股份有限公司,,,,,,,,,,购买商品、接受劳务支付的现金,母公司对黔岭销售应收账款
PZ00058,S1,黔岭销售有限公司,2025-10-31,支付母公司货款,1002,银行存款,,700000000,,,黔岭酒业股份有限公司,,,,,,,,,,购买商品、接受劳务支付的现金,母公司对黔岭销售应收账款
PZ00059,S1,黔岭销售有限公司,2025-12-31,结转主营业务成本,6401,主营业务成本,1000000000,,,,,,,,,,,,,,,
PZ00059,S1,黔岭销售有限公司,2025-12-31,结转主营业务成本,1405,库存商品,,1000000000,,,,,,,,,,,,,,
PZ00060,S1,黔岭销售有限公司,2025-12-31,计提销售人员薪酬,6601,销售费用,172000000,,,,,,,,,,,,,,,
PZ00060,S1,黔岭销售有限公司,2025-12-31,计提销售人员薪酬,2211,应付职工薪酬,,172000000,,,,,,,,,,,,,,
PZ00061,S1,黔岭销售有限公司,2025-12-31,计提固定资产折旧,6601,销售费用,490833.33,,,,,,,,,房屋及建筑物,,销售,,,,
PZ00061,S1,黔岭销售有限公司,2025-12-31,计提固定资产折旧,1602,累计折旧,,490833.33,,,,,,,,房屋及建筑物,,销售,,,,
PZ00062,S1,黔岭销售有限公司,2025-12-31,计提应收款项坏账准备,6701,信用减值损失,18300000,,,,,,,,,,,,,,,
PZ00062,S1,黔岭销售有限公司,2025-12-31,计提应收款项坏账准备,1231,坏账准备,,18300000,,,,,,,,,,,,,,
PZ00063,S1,黔岭销售有限公司,2025-12-31,销售费用（市场推广费）,6601,销售费用,72000000,,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00063,S1,黔岭销售有限公司,2025-12-31,销售费用（市场推广费）,1002,银行存款,,72000000,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00064,S1,黔岭销售有限公司,2025-12-31,销售费用（运输费）,6601,销售费用,42000000,,,黔岭物流有限公司,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00064,S1,黔岭销售有限公司,2025-12-31,销售费用（运输费）,1002,银行存款,,42000000,,黔岭物流有限公司,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00065,S1,黔岭销售有限公司,2025-12-31,税金及附加,6403,税金及附加,60000000,,,,,,,,消费税及附加,,,,,,,
PZ00065,S1,黔岭销售有限公司,2025-12-31,税金及附加,2221,应交税费,,60000000,,,,,,,消费税及附加,,,,,,,
PZ00066,S1,黔岭销售有限公司,2025-12-31,管理费用,6602,管理费用,64000000,,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00066,S1,黔岭销售有限公司,2025-12-31,管理费用,1002,银行存款,,64000000,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00067,S1,黔岭销售有限公司,2025-12-31,实际支付职工薪酬,2211,应付职工薪酬,196000000,,,,,,,,,,,,,,支付给职工以及为职工支付的现金,
PZ00067,S1,黔岭销售有限公司,2025-12-31,实际支付职工薪酬,1002,银行存款,,196000000,,,,,,,,,,,,,支付给职工以及为职工支付的现金,
PZ00068,S1,黔岭销售有限公司,2025-12-31,预收经销商货款,1002,银行存款,480000000,,,,,,批发代理,,,,,,,,销售商品、提供劳务收到的现金,
PZ00068,S1,黔岭销售有限公司,2025-12-31,预收经销商货款,2204,合同负债,,480000000,,,,,批发代理,,,,,,,,销售商品、提供劳务收到的现金,
PZ00069,S1,黔岭销售有限公司,2025-12-31,缴纳消费税及附加,2221,应交税费,60000000,,,,,,,,消费税及附加,,,,,,支付的各项税费,
PZ00069,S1,黔岭销售有限公司,2025-12-31,缴纳消费税及附加,1002,银行存款,,60000000,,,,,,,消费税及附加,,,,,,支付的各项税费,
PZ00070,S1,黔岭销售有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,331814958.33,,,,,,,,企业所得税,,,,,,支付的各项税费,
PZ00070,S1,黔岭销售有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,331814958.33,,,,,,,企业所得税,,,,,,支付的各项税费,
PZ00071,S1,黔岭销售有限公司,2025-12-31,确认所得税费用,6801,所得税费用,439302291.67,,,,,,,,企业所得税,,,,,,,
PZ00071,S1,黔岭销售有限公司,2025-12-31,确认所得税费用,2221,应交税费,,439302291.67,,,,,,,企业所得税,,,,,,,
PZ00072,S1,黔岭销售有限公司,2025-12-31,宣告分配现金股利给母公司,4104,未分配利润,80000000,,,,黔岭酒业股份有限公司,,,,,,,,,,,内部股利
PZ00072,S1,黔岭销售有限公司,2025-12-31,宣告分配现金股利给母公司,2241,其他应付款,,80000000,,,黔岭酒业股份有限公司,,,,,,,,,,,内部股利
PZ00073,S1,黔岭销售有限公司,2025-12-31,向母公司支付现金股利,2241,其他应付款,80000000,,,,黔岭酒业股份有限公司,,,,,,,,,,分配股利、利润或偿付利息支付的现金,内部股利
PZ00073,S1,黔岭销售有限公司,2025-12-31,向母公司支付现金股利,1002,银行存款,,80000000,,,黔岭酒业股份有限公司,,,,,,,,,,分配股利、利润或偿付利息支付的现金,内部股利
PZ00074,S1,黔岭销售有限公司,2025-12-31,计提法定盈余公积,4104,未分配利润,38000000,,,,,,,,,,,,,,,
PZ00074,S1,黔岭销售有限公司,2025-12-31,计提法定盈余公积,4101,盈余公积,,38000000,,,,,,,,,,,,,,
PZ00075,S2,黔岭酒类包装有限公司,2025-12-31,对母公司销售包装材料,1122,应收账款,260000000,,,,黔岭酒业股份有限公司,包装材料,内部销售,国内,,,,,,,,黔岭包装对母公司应收账款
PZ00075,S2,黔岭酒类包装有限公司,2025-12-31,对母公司销售包装材料,6001,主营业务收入,,260000000,,,黔岭酒业股份有限公司,包装材料,内部销售,国内,,,,,,,,黔岭包装对母公司应收账款
PZ00076,S2,黔岭酒类包装有限公司,2025-11-30,收母公司货款,1002,银行存款,190000000,,,,黔岭酒业股份有限公司,,,,,,,,,,销售商品、提供劳务收到的现金,黔岭包装对母公司应收账款
PZ00076,S2,黔岭酒类包装有限公司,2025-11-30,收母公司货款,1122,应收账款,,190000000,,,黔岭酒业股份有限公司,,,,,,,,,,销售商品、提供劳务收到的现金,黔岭包装对母公司应收账款
PZ00077,S2,黔岭酒类包装有限公司,2025-12-31,采购包材原料,1401,原材料,96000000,,,包材原料供应商,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00077,S2,黔岭酒类包装有限公司,2025-12-31,采购包材原料,1002,银行存款,,96000000,,包材原料供应商,,,,,,,,,,,购买商品、接受劳务支付的现金,
PZ00078,S2,黔岭酒类包装有限公司,2025-12-31,领料投产,1402,生产成本,107875000,,,,,,,,,,,,,,,
PZ00078,S2,黔岭酒类包装有限公司,2025-12-31,领料投产,1401,原材料,,107875000,,,,,,,,,,,,,,
PZ00079,S2,黔岭酒类包装有限公司,2025-12-31,生产人员薪酬,1402,生产成本,42000000,,,,,,,,,,,,,,,
PZ00079,S2,黔岭酒类包装有限公司,2025-12-31,生产人员薪酬,2211,应付职工薪酬,,42000000,,,,,,,,,,,,,,
PZ00080,S2,黔岭酒类包装有限公司,2025-12-31,计提生产用固定资产折旧,1402,生产成本,26125000.00,,,,,,,,,机器设备,,生产,,,,
PZ00080,S2,黔岭酒类包装有限公司,2025-12-31,计提生产用固定资产折旧,1602,累计折旧,,26125000.00,,,,,,,,机器设备,,生产,,,,
PZ00081,S2,黔岭酒类包装有限公司,2025-12-31,完工入库,1405,库存商品,176000000,,,,,,,,,,,,,,,
PZ00081,S2,黔岭酒类包装有限公司,2025-12-31,完工入库,1402,生产成本,,176000000,,,,,,,,,,,,,,
PZ00082,S2,黔岭酒类包装有限公司,2025-12-31,结转成本,6401,主营业务成本,200000000,,,,,,,,,,,,,,,
PZ00082,S2,黔岭酒类包装有限公司,2025-12-31,结转成本,1405,库存商品,,200000000,,,,,,,,,,,,,,
PZ00083,S2,黔岭酒类包装有限公司,2025-12-31,管理费用,6602,管理费用,18000000,,,,,,,,,,,,,,支付其他与经营活动有关的现金,
