编号,能力分层,能力类型,分组,问题描述,涉及金额,影响报表项目,影响认定,性质,严重程度,处理方式,隐蔽手法,为什么难,检出路径,证据文件,应实施程序,可自动检出规则,需要的能力
H11,T4,准则与行业知识,税务与补助,"白酒消费税从量税额漏计：销售额从价部分申报正确，但从量部分（0.5 元/500ml）漏计 2,900,000",2900000,税金及附加、应交税费,完整性、准确性,错报,中,需调整,《纳税申报与缴纳汇总》的从价税额与收入×20%**完全吻合**，会让人认为税务处理正确；从量税额一栏数字存在但对应数量却在两个关联文件中,需要知道白酒消费税**复合计征**（从价 + 从量）；不知道这点的模型会认为税务合规,① 用销售额 × 20% 复核从价税 → ② 取《产销量明细》的销售数量 → ③ 按 0.5 元/500ml 独立计算从量税 → ④ 与申报的从量税额比对,04_税务资料/纳税申报与缴纳汇总.csv；02_业务资料/产销量与销量明细.csv,消费税复合计征复核（从价 + 从量）,需人工判断,税务行业知识（复合计征）
H12,T4,准则与行业知识,固定资产与在建工程,"窖池折旧年限不当：按 20 年计提，白酒行业窖池实际使用年限 40 年，多提折旧 13,500,000",13490000,固定资产、营业成本,计价与分摊,错报,中,需调整,会计政策附注里**确实披露了**『房屋建筑物 20–40 年、窖池 20 年』，披露是完整的；问题是政策本身不合理,不是披露缺失，而是**会计估计不合理**。需要横向比对同类资产在附注里的年限区间，发现窖池与普通房屋用了同一区间下限,① 取固定资产卡片按资产类别的折旧年限 → ② 比对同类企业惯例/披露的年限区间 → ③ 识别窖池年限异常 → ④ 重算折旧差额,02_业务资料/固定资产卡片明细表.csv；03_治理资料/会计政策与会计估计.md,折旧政策适当性评价（同类资产年限横向比对）,需人工判断,会计估计合理性判断 + 行业惯例
H13,T4,准则与行业知识,费用与负债,"经营租赁未入表：租入仓库与办公场所，年租金合计 9,000,000，未确认使用权资产与租赁负债 45,000,000",38965500,使用权资产、租赁负债、管理费用,完整性、分类,错报,高,需调整,租金按『管理费用–租赁费』正常列支，凭证摘要就写『支付仓库租金』，完全符合旧准则；没有任何『错误』的样子,需要主动意识到新租赁准则（CAS 21 修订）要求承租人统一确认使用权资产，并知道要拿租赁合同算现值,① 检索含『租赁/租入』的合同 → ② 判断是否属短期/低价值豁免 → ③ 按租赁期与增量借款利率计算租赁负债现值 → ④ 补记使用权资产与折旧,02_业务资料/重大销售与采购合同台账.csv；03_治理资料/会计政策与会计估计.md,租赁合同识别与租赁负债折现测算,需人工判断,新准则适用性判断 + 折现计算
H14,T1,规则可检,费用与负债,"小额费用跨期 12 笔：单笔 18,000–62,000，均低于 SAD 限额 75,000，合计 486,000",486000,管理费用、销售费用,截止,错报,低,需调整,分散在 12 张凭证，摘要各不相同（『物料采购』『会务费』『办公用品』…），单笔都在任何人的容忍范围内,难点不在算法，而在**是否想到要做累积**；任何只看单笔重要性的抽样都会全部放行,① 取费用凭证的『单据日期』与『记账日期』 → ② 筛出跨期项 → ③ 单笔虽小但按累计金额评价,01_账务资料/记账凭证_2025年度明细.csv,费用截止测试（含未更正错报累积评价）,expense_cutoff_cumulative,累积评价（SAD 概念）
H15,T1,规则可检,收入与应收,"小额收入跨期 3 笔：合计 1,240,000，出库单日期均在 2026 年 1 月",1240000,营业收入、应收账款,截止,错报,低,需调整,3 笔分散、金额小；与 H14 混在同一批凭证里,需要把『记账日期』与『出库单日期』两个字段交叉，而不是只看摘要,① 取收入凭证与出库单日期 → ② 比对识别跨期 → ③ 累积评价,01_账务资料/记账凭证_2025年度明细.csv；02_业务资料/销售明细_分产品分渠道分地区.csv,收入截止测试,sales_cutoff_cumulative,跨界字段交叉
H16,T1,规则可检,存货与成本,"固定资产盘亏未处理：盘点盘亏设备 420,000 元，仍挂账固定资产",420000,固定资产、营业外支出,存在,错报,低,需调整,"盘点表与卡片表**都在**，但盘点表放在『其他资料』而不是固定资产资料里；差额只有 420,000",需要主动关联两份文件并信盘点结果而非卡片；金额小、位置偏，容易被跳过,① 关联固定资产盘点表与卡片明细 → ② 按资产编号求差集 → ③ 识别盘亏 → ④ 转销账面价值,02_业务资料/固定资产卡片明细表.csv；06_其他资料/年末资产盘点表.csv,固定资产监盘：盘点表与账面卡片核对,fa_count_diff,跨目录关联证据
H17,T4,准则与行业知识,披露与列报,"受限资产未披露：以 200,000,000 元应收账款作为银行借款质押，附注未披露所有权受限情况",200000000,附注：货币资金/应收账款,披露完整性,披露不充分,高,仅披露,借款合同与质押清单都完整归档在『银行资料』里，账务处理也正确；**唯一的问题是没有写进附注**,账没错、单没错，错在『没说的话』；需要对照披露清单逐项核对，并有『受限资产必须披露』的先验,① 从借款合同/质押清单识别受限资产 → ② 检查附注是否披露 → ③ 确认披露缺口,05_银行资料/借款合同与质押清单.csv；06_其他资料/财务报表附注（未审）.md,受限资产核查与披露完整性检查,需人工判断,披露完整性核对
H18,T4,准则与行业知识,披露与列报,"对外担保未披露：为关联方黔岭物流提供借款担保 120,000,000，或有事项附注未披露",120000000,附注：或有事项,披露完整性,披露不充分,高,仅披露,担保决议写在董事会决议**第 4 条**、夹在两页中间，措辞平淡，不带任何数字标题,需要通读全部决议文本并抽取担保事项，而非检索关键词；表述用的是『提供增信支持』,① 通读董事会决议全文 → ② 抽取担保/增信事项 → ③ 核对或有事项附注 → ④ 确认为披露遗漏,03_治理资料/董事会决议汇编_2025.md；06_其他资料/财务报表附注（未审）.md,或有事项完整性检查 + 决议穿透,需人工判断,非结构化文本要点抽取
H19,T5,职业判断与沟通,披露与列报,"重大诉讼一审已败诉：判赔 25,000,000，管理层认为将上诉故未计提未披露",25000000,预计负债、营业外支出、附注,完整性、披露,披露不充分,高,仅披露,诉讼材料在『其他资料』里以『法律事项说明』为名，正文把败诉写成『一审结果将于上诉后确定』,需要读到判决书的实质结论，并判断败诉后上诉**不改变现时义务的存在**；涉及法务判断,① 通读法律事项说明 → ② 识别一审败诉事实与金额 → ③ 按或有事项准则评价（败诉 + 金额可靠计量 → 应确认预计负债并披露）,06_其他资料/法律事项说明.md,或有事项评价 + 律师函/判决书核实,需人工判断,法律事项会计判断
H20,T5,职业判断与沟通,披露与列报,"资产负债表日后重大投资未披露：2026-02 完成 620,000,000 元并购，未作为日后非调整事项披露",620000000,附注：资产负债表日后事项,披露完整性,披露不充分,中,仅披露,并购信息出现在『总经理办公会纪要』而非董事会决议，且表述为『项目交割完成』,需要判断该事项属重大非调整事项，并知道披露门槛；信息藏在对审计最不显眼的会议纪要里,① 通读办公会纪要与期后事项说明 → ② 识别重大期后事项 → ③ 核对附注披露 → ④ 评价其是否影响报表使用者决策,03_治理资料/总经理办公会纪要_2026Q1.md；06_其他资料/财务报表附注（未审）.md,期后事项识别与披露判断（调整 / 非调整）,需人工判断,期后事项分类判断
H21,T4,准则与行业知识,披露与列报,客户集中度风险未披露：前五名客户销售占比 68%，接近单一客户依赖，附注仅列示金额未提示风险,0,附注：收入与客户,披露完整性,披露不充分,中,仅披露,附注**已经列了**前五名客户的金额，看起来披露是完整的；缺的是『风险提示』这个判断性表述,这是『披露了数据但没披露判断』的类型；模型容易把有数字当成已披露,① 算前五名客户占比 → ② 核对附注是否提示集中度风险 → ③ 判断是否达到应提示的程度,02_业务资料/主要客户清单_前五名.csv；06_其他资料/财务报表附注（未审）.md,客户集中度分析与披露充分性评价,需人工判断,披露充分性（而非完整性）判断
H22,T5,职业判断与沟通,银行与资金,"体外循环迹象：3 笔经销商货款 18,000,000 经员工个人账户收取，未进入公司银行账户，账面记作已收现",18000000,货币资金、应收账款,存在、完整性,舞弊,高,需调整,账面收款凭证齐全、摘要正常；差异只存在于**银行对账单**里 —— 对账单上没有这三笔入账，而账面日记账有,需要把日记账与对账单逐笔匹配（而非只看余额调节），并认识到『账上收了钱、银行没有』是舞弊红旗而非普通未达账项,① 日记账 vs 对账单逐笔匹配 → ② 提取账面有、银行无的收款项 → ③ 访谈出纳、检查个人账户流水 → ④ 评价是否构成舞弊,05_银行资料/银行存款日记账_202512.csv；05_银行资料/银行对账单_202512.csv,银行流水双向核对 + 舞弊风险应对（个人账户收款）,bank_two_way,红旗识别与舞弊推理
H23,T5,职业判断与沟通,银行与资金,出库单连号缺失：出库单号连续区间 5000001–5000100，归档仅 87 张，缺 13 张且集中于 Q4,0,营业收入（真实性）,发生、完整性,舞弊,中,无需调整（记录内控）,没有任何金额异常；异常在于**单据编号的连续性** —— 这需要主动去查编号区间，而非查金额,是『证据链完整性』问题，不是金额问题；程序里没有任何一条会去统计单据编号连续性,① 取全部出库单号 → ② 计算编号区间与实有张数 → ③ 定位缺失号段 → ④ 向客户/仓库追查缺失单据,02_业务资料/销售出库单清单.csv,单据连续性检查 + 原始凭证完整性,doc_sequence,从编号连续性发现缺失
H24,T5,职业判断与沟通,关联方,"多层穿透关联方：交易对象『黔岭供应链管理有限公司』由董事配偶通过持股 55% 的中间公司间接控制，交易额 26,000,000，未作关联方披露",26000000,营业成本、关联方附注,披露完整性,披露不充分,高,仅披露,工商信息给的是单层股权，董事配偶不在股东名单上；必须**穿透两层**（董事配偶 → 中间公司 → 供应链公司）才现形,需要主动做股权穿透并关联到关键管理人员近亲属；且中间公司的名称与主业完全无关（『投资管理』），不提供任何暗示,① 取主要供应商名单 → ② 逐户查工商股权结构 → ③ 与关键管理人员及其近亲属交叉匹配 → ④ 穿透至实际控制人,02_业务资料/主要供应商及付款流水.csv；03_治理资料/组织架构与关键管理人员.md；06_其他资料/工商登记资料摘录.md,关联方穿透识别（股权 + 关键管理人员近亲属）,需人工判断,多跳推理（股权穿透）
