编号,数据集归属,分组,问题描述,涉及金额,影响报表项目,影响认定,性质,严重程度,处理方式,应实施程序,证据文件,检出规则
E11,实验组新增,收入与应收,"销售返利未计提：合同约定年度返利 28,000,000 未入账",28000000,营业收入、其他应付款,完整性/准确,错报,高,需调整,合同关键条款扫描：返利、折扣、退货条款,02_业务资料/重大销售与采购合同台账.csv；02_业务资料/销售明细_分产品分渠道分地区.csv,contract_clause
E12,两组共有,披露与列报,收入集中度未披露：前五名客户销售占比 76.6%，未披露客户集中风险,3265800000,财务报表附注,披露完整性,披露不充分,中,仅披露,附注披露清单核对：客户集中度、信用风险集中,02_业务资料/主要客户清单_前五名.csv,disclosure_lookup
E13,实验组新增,关联方,关联方定价非公允：对黔岭销售的内部调拨价低于同类市场价 22%，缺乏定价依据,220000000,营业收入、关联方附注,准确/披露,披露不充分,中,仅披露,关联交易定价合理性测试：与第三方可比价格对比,02_业务资料/重大销售与采购合同台账.csv,contract_clause
E14,实验组新增,披露与列报,"应收账款保理未披露：以 150,000,000 应收账款办理有追索权保理，未披露质押与担保",150000000,应收账款、短期借款、附注,披露完整性,披露不充分,中,仅披露,受限资产与融资安排检查,02_业务资料/应收账款保理合同摘要.md,disclosure_lookup
E15,实验组新增,存货与成本,"存货账实不符：成品库实盘比账面少 9,200,000，差异未查明也未账务处理",9200000,存货、管理费用,存在,错报,中,需调整,存货监盘 + 盘点差异分析,02_业务资料/存货盘点表.csv,inventory_count
E16,实验组新增,披露与列报,"存货质押未披露：以 380,000,000 存货为银行借款提供质押担保，未披露受限资产",380000000,存货、附注,披露完整性,披露不充分,高,仅披露,受限资产检查：质押、抵押、查封,02_业务资料/受限资产与担保台账.csv,disclosure_lookup
E17,实验组新增,固定资产与在建工程,"在建工程已达可使用状态未转固：包装生产线技改 2025-08-15 验收合格并投入使用，仍挂 186,000,000 在建工程（少提折旧 5,890,000）",186000000,在建工程、固定资产、管理费用,分类/计价,错报,高,需调整,在建工程转固检查：验收单、试运行记录与转固时点核对,02_业务资料/在建工程明细表.csv；02_业务资料/工程验收单摘要.md,cip_transfer
E18,实验组新增,固定资产与在建工程,"闲置固定资产减值未计提：闲置包装线净值 41,000,000，可收回金额仅 12,000,000，未计提减值 29,000,000",29000000,固定资产、资产减值损失,计价,错报,高,需调整,固定资产减值迹象识别 + 可收回金额测试,02_业务资料/固定资产及折旧明细表.csv；02_业务资料/资产减值测试表_管理层编制.csv,impairment_test
E19,实验组新增,固定资产与在建工程,"固定资产盘亏：实盘比账面少 3 台设备，账面价值 6,400,000，未作处理",6400000,固定资产、营业外支出,存在,错报,中,需调整,固定资产监盘 + 盘点差异分析,02_业务资料/固定资产盘点表.csv,fa_count
E20,实验组新增,披露与列报,"固定资产产权瑕疵：2 处房产（原值 246,000,000）未办妥产权证书，未披露",246000000,固定资产、附注,披露完整性,披露不充分,中,仅披露,固定资产权属证明检查,02_业务资料/房屋产权登记情况表.csv,disclosure_lookup
E21,实验组新增,固定资产与在建工程,"研发支出资本化条件不满足：开发支出 26,000,000 资本化，相关项目尚处于研究阶段、技术可行性未论证",26000000,开发支出、研发费用,分类,错报,高,需调整,研发支出资本化五项条件逐项测试,02_业务资料/研发项目台账.csv,dev_cost_test
E22,实验组新增,费用与负债,"应付账款未入账：期末后收到发票 42,000,000，对应存货已于 2025-12 验收入库",42000000,应付账款、存货,完整性,错报,高,需调整,未入账负债检查（搜索未记录负债）：期后付款、期末在途发票,02_业务资料/期后付款与发票清单.csv；02_业务资料/存货收发存明细表.csv,ap_lookup
E23,实验组新增,费用与负债,"社保欠缴：2025 年 7–12 月社会保险费 6,800,000 未缴纳也未计提",6800000,应付职工薪酬、管理费用,完整性,错报,中,需调整,薪酬与社保交叉复核：计提基数 × 缴纳比例 vs 实缴数,02_业务资料/社会保险缴纳情况表.csv；02_业务资料/职工薪酬明细表.csv,payroll_recompute
E24,实验组新增,费用与负债,"费用跨期：2026 年 1 月发生的服务费 7,200,000 于 2025-12-30 提前列支",7200000,管理费用、应付账款,截止,错报,中,需调整,费用截止测试：发票日期与记账日期比对,01_账务资料/记账凭证_2025年度明细.csv,expense_cutoff
E25,实验组新增,费用与负债,"大额预付款长期挂账：预付设备款 88,000,000 挂账超 2 年，设备未到货",88000000,预付款项、资产减值损失,存在/计价,错报,中,需调整,预付款账龄分析 + 供应商履约能力核查,02_业务资料/预付款项账龄明细表.csv,aging_lookup
E26,实验组新增,披露与列报,"对外担保未披露：为关联方黔岭物流提供 300,000,000 借款担保，未在附注披露",300000000,或有事项附注,披露完整性,披露不充分,高,仅披露,担保与或有事项检查：查询征信报告、董事会决议,02_业务资料/受限资产与担保台账.csv；03_治理资料/董事会决议汇编_2025.md,disclosure_lookup
E27,实验组新增,关联方,关联方名单不完整：董事配偶持股 55% 的黔岭商贸未申报为关联方,0,关联方附注,披露完整性,披露不充分,高,仅披露,关联方完整性核查：董监高及其近亲属对外投资穿透,03_治理资料/组织架构与关键管理人员.md；02_业务资料/关联方及关联交易清单_管理层提供.csv,related_party
E28,实验组新增,披露与列报,"关键管理人员薪酬未披露：全年 18,600,000 未按准则要求分项披露",18600000,关联方附注,披露完整性,披露不充分,低,仅披露,关联方披露清单核对：关键管理人员薪酬,02_业务资料/职工薪酬明细表.csv,disclosure_lookup
E29,实验组新增,集团与合并,合并范围不当：持有黔岭商贸 55% 表决权并派驻董事，未纳入合并范围,0,合并财务报表范围,完整性,错报,高,需调整,合并范围复核：表决权比例、董事会席位、实质控制判断,01_账务资料/合并范围内子公司清单.csv；02_业务资料/长期股权投资明细表.csv,consolidation_scope
E30,实验组新增,集团与合并,"内部往来不符：黔岭销售已付母公司货款 18,000,000，母公司未作收款记录",18000000,应收账款、应付账款,完整性/准确,错报,中,需调整,内部往来对账：母公司账与子公司账逐笔核对,01_账务资料/科目余额表_P_黔岭酒业股份有限公司.csv；01_账务资料/科目余额表_S1_黔岭销售有限公司.csv,ic_reconcile
E31,实验组新增,费用与负债,"费用虚列套取资金：向某咨询公司支付「管理咨询服务费」12,000,000，无合同、无成果交付、成立不足 3 个月",12000000,管理费用,存在/发生,舞弊,高,需调整,费用真实性检查：穿透合同、成果、供应商背景（新设、关联、无经营场所）,02_业务资料/主要供应商及付款流水.csv；01_账务资料/记账凭证_2025年度明细.csv,voucher_review
E32,实验组新增,收入与应收,"阴阳合同：同一批货物存在两份销售合同（备案价 620,000,000 / 实际结算价 742,000,000），账务按低价结算",122000000,营业收入、应收账款,准确/发生,舞弊,高,需调整,合同完整性检查：同一交易对手、同一期间的合同比对；函证实际结算金额,02_业务资料/重大销售与采购合同台账.csv,contract_clause
