序号,主体,日期,摘要,科目编码,科目名称,借方,贷方,现金流项目,产品,渠道,地区,关联方,税种,资产类别,账龄
43,黔岭酒业股份有限公司,2025-12-31,支付其他应付款项,2241,其他应付款,240000000,,支付其他与经营活动有关的现金,,,,,,,
43,黔岭酒业股份有限公司,2025-12-31,支付其他应付款项,1002,银行存款,,240000000,支付其他与经营活动有关的现金,,,,,,,
44,黔岭酒业股份有限公司,2025-12-31,确认所得税费用,6801,所得税费用,32000000,,,,,,,企业所得税,,
44,黔岭酒业股份有限公司,2025-12-31,确认所得税费用,2221,应交税费,,32000000,,,,,,企业所得税,,
45,黔岭酒业股份有限公司,2025-12-31,收到与资产相关政府补助,1002,银行存款,30000000,,收到其他与投资活动有关的现金,,,,,,,
45,黔岭酒业股份有限公司,2025-12-31,收到与资产相关政府补助,2901,递延收益,,30000000,收到其他与投资活动有关的现金,,,,,,,
46,黔岭酒业股份有限公司,2025-12-31,计提法定盈余公积,4104,未分配利润,145000000,,,,,,,,,
46,黔岭酒业股份有限公司,2025-12-31,计提法定盈余公积,4101,盈余公积,,145000000,,,,,,,,
47,黔岭酒业股份有限公司,2025-12-31,宣告分配现金股利,4104,未分配利润,395800000,,,,,,,,,
47,黔岭酒业股份有限公司,2025-12-31,宣告分配现金股利,2241,其他应付款,,395800000,,,,,,,,
48,黔岭销售有限公司,2025-12-31,批发代理收入-天酿-国内,1002,银行存款,2355800000,,销售商品、提供劳务收到的现金,黔岭·天酿,批发代理,国内,,,,
48,黔岭销售有限公司,2025-12-31,批发代理收入-天酿-国内,6001,主营业务收入,,2355800000,销售商品、提供劳务收到的现金,黔岭·天酿,批发代理,国内,,,,
49,黔岭销售有限公司,2025-12-31,批发代理收入-春酿-国内,1002,银行存款,584200000,,销售商品、提供劳务收到的现金,黔岭·春酿,批发代理,国内,,,,
49,黔岭销售有限公司,2025-12-31,批发代理收入-春酿-国内,6001,主营业务收入,,584200000,销售商品、提供劳务收到的现金,黔岭·春酿,批发代理,国内,,,,
50,黔岭销售有限公司,2025-12-31,出口收入-春酿,1002,银行存款,180000000,,销售商品、提供劳务收到的现金,黔岭·春酿,批发代理,国外,,,,
50,黔岭销售有限公司,2025-12-31,出口收入-春酿,6001,主营业务收入,,180000000,销售商品、提供劳务收到的现金,黔岭·春酿,批发代理,国外,,,,
51,黔岭销售有限公司,2025-09-30,向母公司采购基酒,1405,库存商品,1000000000,,,,,,黔岭酒业股份有限公司,,,
51,黔岭销售有限公司,2025-09-30,向母公司采购基酒,2202,应付账款,,1000000000,,,,,黔岭酒业股份有限公司,,,
52,黔岭销售有限公司,2025-10-31,支付母公司货款,2202,应付账款,700000000,,购买商品、接受劳务支付的现金,,,,黔岭酒业股份有限公司,,,
52,黔岭销售有限公司,2025-10-31,支付母公司货款,1002,银行存款,,700000000,购买商品、接受劳务支付的现金,,,,黔岭酒业股份有限公司,,,
53,黔岭销售有限公司,2025-12-31,结转主营业务成本,6401,主营业务成本,1000000000,,,,,,,,,
53,黔岭销售有限公司,2025-12-31,结转主营业务成本,1405,库存商品,,1000000000,,,,,,,,
54,黔岭销售有限公司,2025-12-31,计提销售人员薪酬,6601,销售费用,172000000,,,,,,,,,
54,黔岭销售有限公司,2025-12-31,计提销售人员薪酬,2211,应付职工薪酬,,172000000,,,,,,,,
55,黔岭销售有限公司,2025-12-31,销售费用（除薪酬外）,6601,销售费用,114000000,,支付其他与经营活动有关的现金,,,,,,,
55,黔岭销售有限公司,2025-12-31,销售费用（除薪酬外）,1002,银行存款,,114000000,支付其他与经营活动有关的现金,,,,,,,
56,黔岭销售有限公司,2025-12-31,税金及附加,6403,税金及附加,60000000,,,,,,,消费税及附加,,
56,黔岭销售有限公司,2025-12-31,税金及附加,2221,应交税费,,60000000,,,,,,消费税及附加,,
57,黔岭销售有限公司,2025-12-31,管理费用,6602,管理费用,64000000,,支付其他与经营活动有关的现金,,,,,,,
57,黔岭销售有限公司,2025-12-31,管理费用,1002,银行存款,,64000000,支付其他与经营活动有关的现金,,,,,,,
58,黔岭销售有限公司,2025-12-31,实际支付职工薪酬,2211,应付职工薪酬,196000000,,支付给职工以及为职工支付的现金,,,,,,,
58,黔岭销售有限公司,2025-12-31,实际支付职工薪酬,1002,银行存款,,196000000,支付给职工以及为职工支付的现金,,,,,,,
59,黔岭销售有限公司,2025-12-31,预收经销商货款,1002,银行存款,480000000,,销售商品、提供劳务收到的现金,,批发代理,,,,,
59,黔岭销售有限公司,2025-12-31,预收经销商货款,2204,合同负债,,480000000,销售商品、提供劳务收到的现金,,批发代理,,,,,
60,黔岭销售有限公司,2025-12-31,缴纳消费税及附加,2221,应交税费,60000000,,支付的各项税费,,,,,消费税及附加,,
60,黔岭销售有限公司,2025-12-31,缴纳消费税及附加,1002,银行存款,,60000000,支付的各项税费,,,,,消费税及附加,,
61,黔岭销售有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,323500000,,支付的各项税费,,,,,企业所得税,,
61,黔岭销售有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,323500000,支付的各项税费,,,,,企业所得税,,
62,黔岭销售有限公司,2025-12-31,确认所得税费用,6801,所得税费用,427500000,,,,,,,企业所得税,,
62,黔岭销售有限公司,2025-12-31,确认所得税费用,2221,应交税费,,427500000,,,,,,企业所得税,,
63,黔岭销售有限公司,2025-12-31,宣告分配现金股利给母公司,4104,未分配利润,80000000,,,,,,黔岭酒业股份有限公司,,,
63,黔岭销售有限公司,2025-12-31,宣告分配现金股利给母公司,2241,其他应付款,,80000000,,,,,黔岭酒业股份有限公司,,,
64,黔岭销售有限公司,2025-12-31,计提法定盈余公积,4104,未分配利润,38000000,,,,,,,,,
64,黔岭销售有限公司,2025-12-31,计提法定盈余公积,4101,盈余公积,,38000000,,,,,,,,
65,黔岭销售有限公司,2025-12-31,向母公司支付现金股利,2241,其他应付款,80000000,,分配股利、利润或偿付利息支付的现金,,,,黔岭酒业股份有限公司,,,
65,黔岭销售有限公司,2025-12-31,向母公司支付现金股利,1002,银行存款,,80000000,分配股利、利润或偿付利息支付的现金,,,,黔岭酒业股份有限公司,,,
66,黔岭酒类包装有限公司,2025-12-31,对母公司销售包装材料,1122,应收账款,260000000,,,包装材料,内部销售,国内,黔岭酒业股份有限公司,,,
66,黔岭酒类包装有限公司,2025-12-31,对母公司销售包装材料,6001,主营业务收入,,260000000,,包装材料,内部销售,国内,黔岭酒业股份有限公司,,,
67,黔岭酒类包装有限公司,2025-11-30,收母公司货款,1002,银行存款,190000000,,销售商品、提供劳务收到的现金,,,,黔岭酒业股份有限公司,,,
67,黔岭酒类包装有限公司,2025-11-30,收母公司货款,1122,应收账款,,190000000,销售商品、提供劳务收到的现金,,,,黔岭酒业股份有限公司,,,
68,黔岭酒类包装有限公司,2025-12-31,采购包材原料,1401,原材料,96000000,,购买商品、接受劳务支付的现金,,,,,,,
68,黔岭酒类包装有限公司,2025-12-31,采购包材原料,1002,银行存款,,96000000,购买商品、接受劳务支付的现金,,,,,,,
69,黔岭酒类包装有限公司,2025-12-31,领料投产,1402,生产成本,108000000,,,,,,,,,
69,黔岭酒类包装有限公司,2025-12-31,领料投产,1401,原材料,,108000000,,,,,,,,
70,黔岭酒类包装有限公司,2025-12-31,生产人员薪酬,1402,生产成本,42000000,,,,,,,,,
70,黔岭酒类包装有限公司,2025-12-31,生产人员薪酬,2211,应付职工薪酬,,42000000,,,,,,,,
71,黔岭酒类包装有限公司,2025-12-31,生产用固定资产折旧,1402,生产成本,26000000,,,,,,,,机器设备,
71,黔岭酒类包装有限公司,2025-12-31,生产用固定资产折旧,1602,累计折旧,,26000000,,,,,,,机器设备,
72,黔岭酒类包装有限公司,2025-12-31,完工入库,1405,库存商品,176000000,,,,,,,,,
72,黔岭酒类包装有限公司,2025-12-31,完工入库,1402,生产成本,,176000000,,,,,,,,
73,黔岭酒类包装有限公司,2025-12-31,结转成本,6401,主营业务成本,200000000,,,,,,,,,
73,黔岭酒类包装有限公司,2025-12-31,结转成本,1405,库存商品,,200000000,,,,,,,,
74,黔岭酒类包装有限公司,2025-12-31,管理费用,6602,管理费用,18000000,,支付其他与经营活动有关的现金,,,,,,,
74,黔岭酒类包装有限公司,2025-12-31,管理费用,1002,银行存款,,18000000,支付其他与经营活动有关的现金,,,,,,,
75,黔岭酒类包装有限公司,2025-12-31,税金及附加,6403,税金及附加,6000000,,,,,,,消费税及附加,,
75,黔岭酒类包装有限公司,2025-12-31,税金及附加,2221,应交税费,,6000000,,,,,,消费税及附加,,
76,黔岭酒类包装有限公司,2025-12-31,实际支付职工薪酬,2211,应付职工薪酬,44000000,,支付给职工以及为职工支付的现金,,,,,,,
76,黔岭酒类包装有限公司,2025-12-31,实际支付职工薪酬,1002,银行存款,,44000000,支付给职工以及为职工支付的现金,,,,,,,
77,黔岭酒类包装有限公司,2025-12-31,缴纳消费税及附加,2221,应交税费,6000000,,支付的各项税费,,,,,消费税及附加,,
77,黔岭酒类包装有限公司,2025-12-31,缴纳消费税及附加,1002,银行存款,,6000000,支付的各项税费,,,,,消费税及附加,,
78,黔岭酒类包装有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,6000000,,支付的各项税费,,,,,企业所得税,,
78,黔岭酒类包装有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,6000000,支付的各项税费,,,,,企业所得税,,
79,黔岭酒类包装有限公司,2025-12-31,确认所得税费用,6801,所得税费用,8000000,,,,,,,企业所得税,,
79,黔岭酒类包装有限公司,2025-12-31,确认所得税费用,2221,应交税费,,8000000,,,,,,企业所得税,,
80,黔岭酒类包装有限公司,2025-12-31,计提法定盈余公积,4104,未分配利润,2300000,,,,,,,,,
80,黔岭酒类包装有限公司,2025-12-31,计提法定盈余公积,4101,盈余公积,,2300000,,,,,,,,
